epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.24686,2.02221,5.71681,1.65763,0,0,0,0,1.96489,5.10005,1.67694,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,9.90365,1.74081,4.91812,1.37308,0.00023,0.0678,0.00013,9e-05,1.29718,4.23007,1.14024,0.00191466,0.00063822,0.00191466,0.00063822,0.00191466,0.00063822,0.00191466,0.00063822
3,15.1317,1.29128,4.44094,1.0678,0.00147,0.44068,0.00135,0.00062,1.11898,3.96142,0.97767,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934
4,19.6873,1.16022,3.72106,1.00167,0.00271,0.81356,0.00442,0.00241,0.94877,3.61225,0.92613,0.00362202,0.00120734,0.00362202,0.00120734,0.00362202,0.00120734,0.00362202,0.00120734
5,24.9471,1.16854,2.78656,0.98668,0.98172,0.91054,0.96226,0.66726,1.03155,2.157,1.00801,0.00437472,0.00145824,0.00437472,0.00145824,0.00437472,0.00145824,0.00437472,0.00145824
6,29.4464,1.10789,2.12096,1.02858,0.99777,0.9661,0.9751,0.65625,1.12675,1.63536,1.003,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,34.3659,1.13058,1.93764,0.96471,1,0.96447,0.97922,0.69789,0.98205,1.48866,0.97043,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,39.6023,1.1258,1.81429,0.99802,0.98265,0.95982,0.98761,0.68004,1.01687,1.54979,0.95972,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,45.0617,1.10938,1.74042,0.97121,0.97822,0.9661,0.98978,0.7209,0.93624,1.5533,0.94848,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,50.2371,1.05803,1.78962,0.95842,0.98105,0.9661,0.99116,0.76789,0.87999,1.44716,0.93391,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,55.1242,1.06289,1.68323,0.9419,0.98303,0.9817,0.99249,0.74442,0.93173,1.36498,0.93887,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,59.6413,1.06763,1.51157,0.95832,0.98305,0.98272,0.9927,0.77969,0.86439,1.3252,0.92734,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,64.5228,0.96269,1.50258,0.93379,0.98174,0.98305,0.9936,0.77034,0.86636,1.26459,0.9328,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,69.4111,0.9963,1.52238,0.92097,0.9798,0.98305,0.9936,0.77493,0.81791,1.23095,0.92731,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,74.3354,0.97139,1.53651,0.93807,0.99822,0.9661,0.9936,0.73509,0.86,1.24964,0.92913,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,79.6831,0.98991,1.45611,0.92709,0.99827,0.9661,0.99334,0.76674,0.86258,1.16721,0.932,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,84.7372,0.95814,1.37952,0.90477,0.99814,0.9661,0.9936,0.76211,0.84634,1.17845,0.92696,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,89.848,0.91815,1.32831,0.90431,1,0.98084,0.99408,0.77302,0.84312,1.12153,0.92615,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,94.8495,0.86762,1.30049,0.89174,1,0.98052,0.99422,0.74685,0.86086,1.08225,0.92428,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,99.3068,0.91503,1.37658,0.91441,0.98017,0.98305,0.99388,0.77803,0.78862,1.06311,0.91407,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,108.338,0.87217,1.71759,0.92908,0.9805,0.98305,0.99374,0.77603,0.80457,1.08895,0.91948,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,112.913,0.90775,1.70728,0.91508,0.98095,0.98305,0.9936,0.78052,0.83054,1.12307,0.9234,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,117.744,0.87209,1.64434,0.92609,0.98133,0.98305,0.99334,0.78224,0.80953,1.08116,0.92384,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,122.29,0.89171,1.6551,0.92661,0.98165,0.98305,0.99309,0.79266,0.78501,1.03902,0.92128,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,127.296,0.86286,1.6072,0.91864,0.99732,0.9661,0.99263,0.78684,0.79271,1.02505,0.92178,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,131.978,0.84932,1.54418,0.92188,0.98304,0.98246,0.99309,0.7823,0.81709,1.02451,0.92388,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
